dataset,seed,method,valid_for_main_table,threshold,K,noise_strength,num_steps,guidance_scale,dice,iou,acc,sen,spec,auc,time_ms,fps
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.4234439432621002,0.2685879170894623,0.9497528076171875,0.29283207654953003,0.9939298033714294,0.9032345331032461,443.19840002572164,2.256325834980369
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.20908953249454498,0.11675041168928146,0.9403190612792969,0.12825602293014526,0.9935411810874939,0.7887980516102635,1053.840600012336,0.9489101103034884
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.21150058507919312,0.11825589090585709,0.93890380859375,0.13003996014595032,0.9932987689971924,0.7941111640096638,1053.840600012336,0.9489101103034884
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9999446868896484,0.9998893737792969,0.9999923706054688,1.0,0.9999918341636658,0.9999999997733338,nan,nan
CHASE-DB1,42,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998697638511658,0.9997395873069763,0.9999847412109375,0.9999349117279053,0.9999878406524658,0.9999999986807068,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.8138436079025269,0.6861183047294617,0.9740028381347656,0.824131429195404,0.9851025342941284,0.9046169787122655,nan,nan
CHASE-DB1,42,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7850398421287537,0.6461445093154907,0.9733390808105469,0.8310216665267944,0.9821951985359192,0.9066084281388744,nan,nan
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.4431171417236328,0.28461816906929016,0.9470062255859375,0.3057645559310913,0.9944974184036255,0.9149455121079788,443.4187500155531,2.255204589262237
CHASE-DB1,42,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.4644811153411865,0.30249130725860596,0.9548225402832031,0.33444032073020935,0.9934275150299072,0.9168288853159454,443.4187500155531,2.255204589262237
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.21087966859340668,0.11786779016256332,0.9345359802246094,0.12685328722000122,0.9943540096282959,0.8015476743341035,1067.8588500013575,0.9364533524245539
CHASE-DB1,42,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.21826045215129852,0.122498519718647,0.9434623718261719,0.13472683727741241,0.9937881827354431,0.8103725858847434,1067.8588500013575,0.9364533524245539
CHASE-DB1,123,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998353719711304,0.9996707439422607,0.9999771118164062,0.9997255802154541,0.9999958872795105,0.9999999698520502,nan,nan
CHASE-DB1,123,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.999849259853363,0.9996986389160156,0.9999771118164062,0.999849259853363,0.9999876022338867,0.9999999941930006,nan,nan
CHASE-DB1,123,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.8178000450134277,0.6917612552642822,0.9753379821777344,0.7962353229522705,0.9887176752090454,0.892476512391499,nan,nan
CHASE-DB1,123,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7785102725028992,0.6373448967933655,0.9691123962402344,0.7148957252502441,0.9900016188621521,0.8524486824078473,nan,nan
CHASE-DB1,123,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.1890047788619995,0.10436514019966125,0.9365234375,0.10640983283519745,0.9985364079475403,0.9039947495689498,442.2469999990426,2.261179838420984
CHASE-DB1,123,LU-Net+RA+Diff(20),YES,0.5,5,0.5,20,1.5,0.1794273406267166,0.09855543822050095,0.9302520751953125,0.10042703151702881,0.9984395503997803,0.8832902896239831,442.2469999990426,2.261179838420984
CHASE-DB1,123,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.46016860008239746,0.29884350299835205,0.9000892639160156,0.6126111149787903,0.9215651154518127,0.8666550093544094,1047.7865500142798,0.9543928579598311
CHASE-DB1,123,LU-Net+RA+Diff(50),YES,0.5,5,0.5,50,1.5,0.43815481662750244,0.2805366516113281,0.886260986328125,0.5840743780136108,0.9110919237136841,0.8370465641685431,1047.7865500142798,0.9543928579598311
CHASE-DB1,123,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.999811589717865,0.9996232986450195,0.999969482421875,0.9997645020484924,0.9999875426292419,0.9999999882709022,nan,nan
CHASE-DB1,123,AE reconstruction (GT input; sanity only),NO,0.5,5,0.5,0,1.5,0.9998778104782104,0.9997556805610657,0.9999809265136719,0.9998045563697815,0.9999958872795105,0.9999999943385615,nan,nan
CHASE-DB1,123,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7537863850593567,0.6048612594604492,0.9649620056152344,0.6621456146240234,0.9916524887084961,0.8268990499262617,nan,nan
CHASE-DB1,123,Baseline coarse mask,YES,0.5,5,0.5,0,1.5,0.7393139004707336,0.5864377617835999,0.9632415771484375,0.6677091717720032,0.9882654547691345,0.827987311389986,nan,nan
